14,00:00:00 2/16/22
8,00:00:00 2/17/22
9,00:00:00 2/18/22
8,00:00:00 2/19/22
19,00:00:00 2/20/22
17,00:00:00 2/21/22
3,00:00:00 2/22/22
1,00:00:00 2/23/22
8,00:00:00 2/24/22
5,00:00:00 2/25/22
13,00:00:00 2/26/22
21,00:00:00 2/27/22
20,00:00:00 2/28/22
17,00:00:00 3/1/22
12,00:00:00 3/2/22
14,00:00:00 3/3/22
8,00:00:00 3/4/22
8,00:00:00 3/5/22
3,00:00:00 3/6/22
5,00:00:00 3/7/22
11,00:00:00 3/8/22
22,00:00:00 3/9/22
9,00:00:00 3/10/22
14,00:00:00 3/11/22
23,00:00:00 3/12/22
23,00:00:00 3/13/22
21,00:00:00 3/14/22
14,00:00:00 3/15/22
20,00:00:00 3/16/22
20,00:00:00 3/17/22
10,00:00:00 3/18/22
2,00:00:00 3/19/22
22,00:00:00 3/20/22
18,00:00:00 3/21/22
13,00:00:00 3/22/22
1,00:00:00 3/23/22
3,00:00:00 3/24/22
4,00:00:00 3/25/22
6,00:00:00 3/26/22
22,00:00:00 3/27/22
25,00:00:00 3/28/22
18,00:00:00 3/29/22
6,00:00:00 3/30/22
2,00:00:00 3/31/22
3,00:00:00 4/1/22
22,00:00:00 4/2/22
11,00:00:00 4/3/22
10,00:00:00 4/4/22
7,00:00:00 4/5/22
5,00:00:00 4/6/22
4,00:00:00 4/7/22
8,00:00:00 4/8/22
7,00:00:00 4/9/22
23,00:00:00 4/10/22
18,00:00:00 4/11/22
23,00:00:00 4/12/22
5,00:00:00 4/13/22
2,00:00:00 4/14/22
11,00:00:00 4/15/22
18,00:00:00 4/16/22
17,00:00:00 4/17/22
15,00:00:00 4/18/22
4,00:00:00 4/19/22
18,00:00:00 4/20/22
1,00:00:00 4/21/22
24,00:00:00 4/22/22
1,00:00:00 4/23/22
4,00:00:00 4/24/22
14,00:00:00 4/25/22
7,00:00:00 4/26/22
20,00:00:00 4/27/22
15,00:00:00 4/28/22
13,00:00:00 4/29/22
4,00:00:00 4/30/22
3,00:00:00 5/1/22
3,00:00:00 5/2/22
5,00:00:00 5/3/22
8,00:00:00 5/4/22
22,00:00:00 5/5/22
8,00:00:00 5/6/22
16,00:00:00 5/7/22
21,00:00:00 5/8/22
2,00:00:00 5/9/22
14,00:00:00 5/10/22
6,00:00:00 5/11/22
15,00:00:00 5/12/22
21,00:00:00 5/13/22
17,00:00:00 5/14/22
17,00:00:00 5/15/22
17,00:00:00 5/16/22
21,00:00:00 5/17/22
4,00:00:00 5/18/22
11,00:00:00 5/19/22
9,00:00:00 5/20/22
7,00:00:00 5/21/22
12,00:00:00 5/22/22
16,00:00:00 5/23/22
19,00:00:00 5/24/22
13,00:00:00 5/25/22
2,00:00:00 5/26/22
6,00:00:00 5/27/22
22,00:00:00 5/28/22
18,00:00:00 5/29/22
12,00:00:00 5/30/22
20,00:00:00 5/31/22
17,00:00:00 6/1/22
17,00:00:00 6/2/22
19,00:00:00 6/3/22
22,00:00:00 6/4/22
5,00:00:00 6/5/22
10,00:00:00 6/6/22
9,00:00:00 6/7/22
20,00:00:00 6/8/22
16,00:00:00 6/9/22
20,00:00:00 6/10/22
14,00:00:00 6/11/22
6,00:00:00 6/12/22
9,00:00:00 6/13/22
5,00:00:00 6/14/22
18,00:00:00 6/15/22
8,00:00:00 6/16/22
21,00:00:00 6/17/22
22,00:00:00 6/18/22
19,00:00:00 6/19/22
18,00:00:00 6/20/22
19,00:00:00 6/21/22
17,00:00:00 6/22/22
20,00:00:00 6/23/22
19,00:00:00 6/24/22
20,00:00:00 6/25/22
6,00:00:00 6/26/22
21,00:00:00 6/27/22
20,00:00:00 6/28/22
17,00:00:00 6/29/22
17,00:00:00 6/30/22
10,00:00:00 7/1/22
14,00:00:00 7/2/22
12,00:00:00 7/3/22
19,00:00:00 7/4/22
8,00:00:00 7/5/22
12,00:00:00 7/6/22
14,00:00:00 7/7/22
15,00:00:00 7/8/22
11,00:00:00 7/9/22
18,00:00:00 7/10/22
14,00:00:00 7/11/22
15,00:00:00 7/12/22
18,00:00:00 7/13/22
17,00:00:00 7/14/22
17,00:00:00 7/15/22
6,00:00:00 7/16/22
11,00:00:00 7/17/22
18,00:00:00 7/18/22
19,00:00:00 7/19/22
14,00:00:00 7/20/22
15,00:00:00 7/21/22
19,00:00:00 7/22/22
16,00:00:00 7/23/22
7,00:00:00 7/25/22
0,00:00:00 7/26/22
0,00:00:00 7/27/22
0,00:00:00 7/28/22
0,00:00:00 7/29/22
0,00:00:00 7/30/22
0,00:00:00 7/31/22
0,00:00:00 8/1/22
0,00:00:00 8/2/22
0,00:00:00 8/3/22
0,00:00:00 8/4/22
0,00:00:00 8/5/22
0,00:00:00 8/6/22
0,00:00:00 8/7/22
0,00:00:00 8/8/22
0,00:00:00 8/9/22
0,00:00:00 8/10/22
0,00:00:00 8/11/22
0,00:00:00 8/12/22
0,00:00:00 8/13/22
0,00:00:00 8/14/22
0,00:00:00 8/15/22
0,00:00:00 8/16/22
0,00:00:00 8/17/22
0,00:00:00 8/18/22
0,00:00:00 8/19/22
0,00:00:00 8/20/22
0,00:00:00 8/21/22
0,00:00:00 8/22/22
0,00:00:00 8/23/22
0,00:00:00 8/24/22
0,00:00:00 8/25/22
0,00:00:00 8/26/22
0,00:00:00 8/27/22
0,00:00:00 8/28/22
